il,ISTANBUL,,,,,,,,,,,,,
ilce,USKUDAR,,,,,,,,,,,,,
Row Labels,Sum of kayitli_secmen,Sum of oy_kullanan_kayitli_secmen,Sum of gecerli_oy,Sum of akp_oy,Sum of chp_oy,,katilim %,akp oran,chp oran,,,,,
1001,312,246,229,93,119,,0.78846153846153844,0.40611353711790393,0.51965065502183405,,ISTANBUL,,,USKUDAR
1002,314,263,245,87,130,,0.83757961783439494,0.35510204081632651,0.53061224489795922,,,,,
1003,312,275,258,144,96,,0.88141025641025639,0.55813953488372092,0.37209302325581395,,,,,
1004,312,271,252,127,97,,0.86858974358974361,0.50396825396825395,0.38492063492063494,,,,,
1005,311,281,253,111,115,,0.90353697749196138,0.43873517786561267,0.45454545454545453,,,,,
1006,312,267,246,99,119,,0.85576923076923073,0.40243902439024393,0.48373983739837401,,,,,
1007,312,254,244,101,119,,0.8141025641025641,0.41393442622950821,0.48770491803278687,,,,,
1008,311,270,258,108,121,,0.86816720257234725,0.41860465116279072,0.4689922480620155,,,,,
1009,311,274,265,125,102,,0.88102893890675238,0.47169811320754718,0.38490566037735852,,,,,
1010,310,286,281,103,168,,0.92258064516129035,0.36654804270462632,0.59786476868327398,,,,,
1011,303,246,232,72,145,,0.81188118811881194,0.31034482758620691,0.625,,,,,
1012,303,245,232,76,143,,0.8085808580858086,0.32758620689655171,0.61637931034482762,,,,,
1013,304,246,239,67,159,,0.80921052631578949,0.28033472803347281,0.66527196652719667
1014,303,271,245,84,139,,0.89438943894389444,0.34285714285714286,0.56734693877551023
1015,303,262,250,77,160,,0.86468646864686471,0.308,0.64
1016,303,274,260,77,162,,0.90429042904290424,0.29615384615384616,0.62307692307692308
1017,302,275,258,89,154,,0.91059602649006621,0.34496124031007752,0.5968992248062015
1018,303,264,258,88,151,,0.87128712871287128,0.34108527131782945,0.5852713178294574
1019,303,255,241,105,115,,0.84158415841584155,0.43568464730290457,0.47717842323651455
1020,303,261,252,108,110,,0.86138613861386137,0.42857142857142855,0.43650793650793651
1021,302,255,248,116,108,,0.8443708609271523,0.46774193548387094,0.43548387096774194
1022,303,266,254,94,131,,0.87788778877887785,0.37007874015748032,0.51574803149606296
1023,302,274,268,55,191,,0.9072847682119205,0.20522388059701493,0.71268656716417911
1024,302,279,271,91,162,,0.92384105960264906,0.33579335793357934,0.59778597785977861
1025,304,272,263,63,172,,0.89473684210526316,0.23954372623574144,0.6539923954372624
1026,302,269,261,52,190,,0.89072847682119205,0.19923371647509577,0.72796934865900387
1027,303,251,246,94,134,,0.82838283828382842,0.38211382113821141,0.54471544715447151
1028,302,236,221,83,128,,0.7814569536423841,0.3755656108597285,0.579185520361991
1029,304,251,242,79,149,,0.82565789473684215,0.32644628099173556,0.61570247933884292
