time_value,(Multiple Items),,,,,,,,,,,
Row Labels,Sum of kayitli_secmen,Sum of oy_kullanan_kayitli_secmen,Sum of kullanilan_toplam_oy,Sum of gecerli_oy,Sum of akp_oy,Sum of chp_oy,Sum of mhp_oy,Sum of bdp_oy,Sum of hdp_oy,,Katılım,Geçersiz oran
ORDU,535627,465633,465633,440656,239717,150429,35879,0,1083,,0.86932324173351982,0.94635904242182145
OSMANIYE,135153,118966,118966,114394,42834,11337,54153,0,3028,,0.8802320333251944,0.9615688516046601
RIZE,68993,58120,58120,56397,38266,2769,2375,0,0,,0.84240430188569859,0.97035443909153474
SAKARYA,651326,596154,596154,571968,331138,52869,153192,0,4659,,0.91529280268252766,0.95942994595356235
SAMSUN,906931,810243,810243,770161,422346,122295,194213,0,1517,,0.89338990507546878,0.95053089011568137
SANLIURFA,934894,813950,813950,784419,483407,6812,18657,239563,0,,0.87063346218929638,0.96371890165243568
SIIRT,74207,65171,65171,62623,26286,345,370,31019,0,,0.87823251175765094,0.96090285556459165
SINOP,29376,25583,25583,24598,9197,13366,1552,0,0,,0.87088099128540308,0.96149786967908379
SIRNAK,32137,28509,28509,27348,8009,423,870,16286,0,,0.88710831751563624,0.95927601809954754
SIVAS,212088,189324,189324,183712,106979,8655,6933,0,293,,0.8926671947493493,0.9703576936891255
TEKIRDAG,634941,576342,576342,549940,204200,251728,69674,0,9343,,0.90770953521665798,0.95419039389806748
TOKAT,91418,82420,82420,79567,41390,4130,31066,0,0,,0.90157299437747485,0.9653846153846154
TRABZON,551990,478690,478690,461010,273800,114803,51349,0,473,,0.86720773927063899,0.96306586726273791
TUNCELI,21140,17508,17508,17074,1592,5259,244,7250,0,,0.82819299905392618,0.9752113319625314
USAK,134793,123562,123562,117767,50920,26897,36471,0,812,,0.91667964953669701,0.95310046778135671
VAN,577186,472685,472685,450491,185739,3499,3345,239458,0,,0.81894744501772387,0.95304695516041338
YALOVA,75803,64902,64902,62717,27223,27229,3390,0,2101,,0.85619302666121389,0.96633385720008624
YOZGAT,52387,47348,47348,45849,25722,683,17518,0,0,,0.90381201443106118,0.96834079580974908
ZONGULDAK,78728,67838,67838,65430,25358,26119,11613,0,177,,0.8616756427192358,0.9645036705091542
Grand Total,44876939,40110736,40110736,38446545,17511397,11357789,5645214,1339227,829669,,0.89379393723800993,0.9585100856788068
